Date,Store_ID,City,Product_ID,Product_Category,Units_Sold,Unit_Price,Total_Sales,Inventory_Available,Discount (%),Promotion,Holiday,Temperature
2024-01-01,S001,Bangalore,P013,Home Decor,23,396.44,9118.12,264,10,Yes,No,21.0
2024-01-01,S001,Bangalore,P015,Sports,26,1445.34,37578.84,199,20,Yes,No,21.0
2024-01-01,S001,Bangalore,P012,Grocery,22,113.43,2495.46,394,10,No,No,25.2
2024-01-01,S001,Bangalore,P001,Electronics,21,655.07,13756.47,320,20,Yes,No,28.2
2024-01-01,S001,Bangalore,P007,Electronics,24,1077.05,25849.2,369,10,Yes,No,28.4
2024-01-01,S001,Bangalore,P020,Fashion,19,1890.18,35913.42,63,10,Yes,No,34.6
2024-01-01,S001,Bangalore,P018,Grocery,17,1400.04,23800.68,416,10,No,No,32.3
2024-01-01,S001,Bangalore,P003,Sports,21,429.39,9017.19,130,10,Yes,No,24.7
2024-01-01,S001,Bangalore,P016,Grocery,22,1088.13,23938.86,155,0,No,No,30.2
2024-01-01,S001,Bangalore,P019,Grocery,19,1860.65,35352.35,400,15,No,No,36.6
2024-01-01,S002,Hyderabad,P008,Home Decor,13,185.93,2417.09,345,10,No,No,35.2
2024-01-01,S002,Hyderabad,P020,Fashion,23,1214.83,27941.09,266,20,Yes,Yes,25.1
2024-01-01,S002,Hyderabad,P002,Fashion,20,1624.17,32483.4,114,5,Yes,No,20.3
2024-01-01,S002,Hyderabad,P019,Electronics,19,657.63,12494.97,112,20,Yes,No,34.7
2024-01-01,S002,Hyderabad,P007,Home Decor,23,1565.41,36004.43,310,5,No,No,36.7
2024-01-01,S002,Hyderabad,P012,Fashion,25,281.28,7032.0,456,20,Yes,No,32.0
2024-01-01,S002,Hyderabad,P011,Sports,22,621.97,13683.34,84,10,Yes,No,28.5
2024-01-01,S002,Hyderabad,P005,Home Decor,14,1545.49,21636.86,267,0,Yes,No,24.2
2024-01-01,S002,Hyderabad,P001,Home Decor,16,1450.26,23204.16,395,0,No,No,20.5
2024-01-01,S002,Hyderabad,P009,Home Decor,13,1309.18,17019.34,101,0,Yes,No,30.1
2024-01-01,S003,Mumbai,P018,Sports,23,1248.39,28712.97,192,5,Yes,No,33.6
2024-01-01,S003,Mumbai,P020,Sports,16,650.53,10408.48,135,5,No,No,35.8
2024-01-01,S003,Mumbai,P010,Electronics,22,300.44,6609.68,333,20,Yes,No,34.5
2024-01-01,S003,Mumbai,P005,Sports,20,1802.57,36051.4,280,10,Yes,No,36.3
2024-01-01,S003,Mumbai,P012,Sports,17,100.99,1716.83,282,10,No,No,25.5
2024-01-01,S003,Mumbai,P009,Sports,15,1021.18,15317.7,274,0,Yes,No,22.2
2024-01-01,S003,Mumbai,P006,Home Decor,18,714.09,12853.62,145,5,Yes,Yes,30.0
2024-01-01,S003,Mumbai,P008,Fashion,19,582.44,11066.36,317,0,No,No,24.5
2024-01-01,S003,Mumbai,P002,Sports,20,641.2,12824.0,130,10,No,Yes,24.8
2024-01-01,S003,Mumbai,P016,Fashion,22,1108.78,24393.16,267,0,No,No,37.7
2024-01-01,S004,Mumbai,P010,Home Decor,16,1547.08,24753.28,172,5,No,No,24.4
2024-01-01,S004,Mumbai,P017,Home Decor,24,1968.5,47244.0,444,5,Yes,No,34.7
2024-01-01,S004,Mumbai,P014,Home Decor,24,1065.58,25573.92,398,15,Yes,No,35.5
2024-01-01,S004,Mumbai,P003,Home Decor,18,1451.18,26121.24,196,15,No,No,26.3
2024-01-01,S004,Mumbai,P006,Grocery,19,1691.65,32141.35,316,0,Yes,No,26.1
2024-01-01,S004,Mumbai,P011,Grocery,14,1766.94,24737.16,148,15,Yes,No,24.1
2024-01-01,S004,Mumbai,P013,Fashion,20,1992.88,39857.6,303,20,No,No,36.1
2024-01-01,S004,Mumbai,P002,Electronics,27,744.16,20092.32,148,0,No,No,32.6
2024-01-01,S004,Mumbai,P009,Home Decor,19,1716.76,32618.44,162,20,No,No,22.9
2024-01-01,S004,Mumbai,P004,Home Decor,27,117.47,3171.69,148,5,Yes,Yes,37.5
2024-01-01,S005,Bangalore,P003,Home Decor,17,1022.67,17385.39,212,15,Yes,No,31.7
2024-01-01,S005,Bangalore,P016,Sports,16,550.77,8812.32,326,15,Yes,No,23.2
2024-01-01,S005,Bangalore,P014,Grocery,18,1469.79,26456.22,177,5,No,No,30.2
2024-01-01,S005,Bangalore,P018,Electronics,13,603.88,7850.44,287,0,No,No,30.6
2024-01-01,S005,Bangalore,P017,Home Decor,27,765.15,20659.05,146,0,Yes,No,30.4
2024-01-01,S005,Bangalore,P001,Home Decor,20,1472.66,29453.2,196,20,No,No,30.3
2024-01-01,S005,Bangalore,P008,Electronics,24,1989.65,47751.6,207,20,No,No,37.2
2024-01-01,S005,Bangalore,P019,Sports,27,129.37,3492.99,329,5,No,Yes,26.0
2024-01-01,S005,Bangalore,P013,Fashion,21,1962.63,41215.23,165,10,Yes,No,25.3
2024-01-01,S005,Bangalore,P011,Sports,18,702.15,12638.7,177,0,No,Yes,26.7
2024-01-01,S006,Chennai,P004,Home Decor,19,1867.03,35473.57,223,5,No,No,21.7
2024-01-01,S006,Chennai,P018,Grocery,14,1767.01,24738.14,322,5,Yes,No,35.3
2024-01-01,S006,Chennai,P015,Sports,14,1150.36,16105.04,219,15,Yes,No,34.6
2024-01-01,S006,Chennai,P017,Home Decor,27,1052.88,28427.76,222,5,Yes,No,23.5
2024-01-01,S006,Chennai,P005,Grocery,12,196.46,2357.52,420,15,Yes,No,26.1
2024-01-01,S006,Chennai,P009,Electronics,18,1198.73,21577.14,391,5,No,No,25.9
2024-01-01,S006,Chennai,P003,Sports,16,676.2,10819.2,493,0,No,No,25.9
2024-01-01,S006,Chennai,P011,Home Decor,25,1933.98,48349.5,152,5,Yes,No,21.5
2024-01-01,S006,Chennai,P007,Home Decor,20,1479.57,29591.4,318,5,Yes,No,37.5
2024-01-01,S006,Chennai,P013,Home Decor,23,857.76,19728.48,324,0,No,No,27.9
2024-01-01,S007,Chennai,P002,Home Decor,12,1929.03,23148.36,328,10,No,No,27.7
2024-01-01,S007,Chennai,P013,Sports,23,1838.91,42294.93,288,0,Yes,No,24.5
2024-01-01,S007,Chennai,P014,Home Decor,21,1354.38,28441.98,422,5,Yes,No,31.5
2024-01-01,S007,Chennai,P009,Sports,20,927.78,18555.6,398,15,No,No,27.6
2024-01-01,S007,Chennai,P007,Fashion,16,1539.91,24638.56,234,15,Yes,No,26.2
2024-01-01,S007,Chennai,P020,Sports,13,691.69,8991.97,495,15,Yes,No,32.7
2024-01-01,S007,Chennai,P010,Fashion,20,1034.07,20681.4,88,10,Yes,No,26.2
2024-01-01,S007,Chennai,P017,Electronics,19,191.31,3634.89,295,10,No,No,31.4
2024-01-01,S007,Chennai,P018,Fashion,22,1727.33,38001.26,374,0,Yes,No,32.3
2024-01-01,S007,Chennai,P008,Electronics,29,1309.17,37965.93,389,20,No,No,30.4
